Date,Open,High,Low,Close,Adj Close,Volume
2024-10-21,218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,218.85000610351562,47329000
2024-10-22,217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,217.97000122070312,43268700
2024-10-23,217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,213.64999389648438,80938900
2024-10-24,244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,260.4800109863281,204491900
2024-10-25,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,269.19000244140625,161611900
2024-10-28,270.0,273.5400085449219,262.239990234375,262.510009765625,262.510009765625,107653600
2024-10-29,264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,259.5199890136719,80521800
2024-10-30,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,257.54998779296875,53993600
2024-10-31,257.989990234375,259.75,249.25,249.85000610351562,249.85000610351562,66575300
2024-11-01,252.0399932861328,254.0,246.6300048828125,248.97999572753906,248.97999572753906,57544800
2024-11-04,244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,242.83999633789062,68802400
2024-11-05,247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,251.44000244140625,69282500
2024-11-06,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,288.5299987792969,165228700
2024-11-07,288.8900146484375,299.75,285.5199890136719,296.9100036621094,296.9100036621094,117309200
2024-11-08,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,321.2200012207031,204782800
2024-11-11,346.29998779296875,358.6400146484375,336.0,350.0,350.0,210521600
2024-11-12,342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,328.489990234375,155726000
2024-11-13,335.8500061035156,344.6000061035156,322.5,330.239990234375,330.239990234375,125405600
2024-11-14,327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,311.17999267578125,120726100
2024-11-15,310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,320.7200012207031,114440300
2024-11-18,340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,338.739990234375,126547500
2024-11-19,335.760009765625,347.3800048828125,332.75,346.0,346.0,88563400
