Ticker,Price,Change,Change %,Volume,Market Cap,52W Change,Beta
AIRJW,0.8765,-0.033500000000000085,-3.6813186813186904,5112.0,,,-0.018
AIRS,7.19,-0.1999999999999993,-2.7063599458727916,89025.0,416173728.0,0.24610053396671414,1.619
AIRT,21.6425,0.9124999999999979,4.4018330921369895,21861.0,59734380.0,0.3014131699275678,
AIRTP,17.1179,-0.13210000000000122,-0.7657971014492824,429.0,412354816.0,0.12325911114604417,
AISP,2.8848,-0.09520000000000017,-3.194630872483227,662879.0,78710328.0,-0.7303925225515013,0.153
AISPW,0.4785,-0.02250000000000002,-4.491017964071861,55213.0,,,0.153
AIT,276.13,-1.6200000000000045,-0.583258325832585,27652.0,10616231936.0,0.6882017671191063,1.024
AITR,10.66,-0.019999999999999574,-0.18726591760299227,2.0,83550416.0,0.051282000639356784,
AITRR,0.12,0.0,0.0,215.0,,,
AITRU,10.845,0.125,1.1660447761194028,13.0,,0.06637169967267498,
AIV,8.605,-0.14499999999999957,-1.6571428571428521,298961.0,1215619584.0,0.20181560413670896,1.516
AIXI,5.9,-0.29000000000000004,-4.684975767366721,45984.0,56840364.0,-0.7073412628956542,
AIZ,224.58,0.20000000000001705,0.08913450396649303,68615.0,11518124032.0,0.326448388100346,0.568
AJG,306.3,-0.9599999999999795,-0.31243897676234444,189599.0,67216306176.0,0.2598982914150234,0.727
AJX,3.02,-0.020000000000000018,-0.6578947368421059,224819.0,138085264.0,-0.326099710621417,1.846
AKA,19.56,-1.7600000000000016,-8.255159474671677,5702.0,208126224.0,1.1594171236663378,1.413
AKAM,97.52,-0.7800000000000011,-0.7934893184130225,409786.0,14650137600.0,-0.15654735922457585,0.678
AKAN,1.5926,-0.09739999999999993,-5.763313609467452,27645.0,2272337.0,-0.9609656858391049,1.521
AKBA,2.035,0.0050000000000003375,0.24630541871922848,493179.0,443998336.0,0.8169643546131493,0.734
AKO,0.0,,,,,,
AKR,25.39,-0.03999999999999915,-0.15729453401493965,115621.0,3276249344.0,0.6674561766825585,1.483
