Date,Open,High,Low,Close,Adj Close,Volume
2024-11-11,79.79000091552734,81.56999969482422,79.37999725341797,81.22000122070312,81.22000122070312,2450200
2024-11-12,80.55999755859375,82.97000122070312,80.12999725341797,82.47000122070312,82.47000122070312,2811600
2024-11-13,81.73999786376953,83.68000030517578,81.30400085449219,81.80999755859375,81.80999755859375,2368100
2024-11-14,81.93000030517578,82.22000122070312,79.19000244140625,80.36000061035156,80.36000061035156,2711400
2024-11-15,79.38999938964844,79.69000244140625,78.05999755859375,79.11000061035156,79.11000061035156,2165000
2024-11-18,79.11000061035156,79.45999908447266,77.77999877929688,78.37000274658203,78.37000274658203,1852200
2024-11-19,77.6500015258789,79.75,77.05999755859375,79.5199966430664,79.5199966430664,1491900
2024-11-20,80.02999877929688,80.6500015258789,77.93000030517578,78.80999755859375,78.80999755859375,1232200
2024-11-21,79.44000244140625,80.5999984741211,78.44000244140625,80.1500015258789,80.1500015258789,1772000
2024-11-22,80.95999908447266,83.18000030517578,80.95999908447266,83.02999877929688,83.02999877929688,2280700
2024-11-25,84.25,86.5,84.16999816894531,85.51000213623047,85.51000213623047,7870000
2024-11-26,85.9800033569336,86.75,84.5999984741211,85.30000305175781,85.30000305175781,2691000
2024-11-27,85.0999984741211,85.16999816894531,80.25,80.37999725341797,80.37999725341797,2769700
2024-11-29,81.0,81.76300048828125,79.52999877929688,79.69000244140625,79.69000244140625,1342900
2024-12-02,79.58999633789062,81.79000091552734,79.4000015258789,80.26000213623047,80.26000213623047,2346900
2024-12-03,80.26000213623047,80.51000213623047,79.05999755859375,80.44999694824219,80.44999694824219,2661900
2024-12-04,82.23999786376953,84.19999694824219,82.11100006103516,83.98999786376953,83.98999786376953,2768900
2024-12-05,83.58999633789062,84.3499984741211,82.79000091552734,83.68000030517578,83.68000030517578,5967300
2024-12-06,96.0,107.86000061035156,95.33000183105469,106.98999786376953,106.98999786376953,19823700
2024-12-09,106.05000305175781,106.05000305175781,102.1449966430664,102.26000213623047,102.26000213623047,6536600
