Date,SMA50,SMA200,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_hband,Bollinger_lband
2024-09-16,,,,,,,,
2024-09-17,,,,,,,,
2024-09-18,,,,,,,,
2024-09-19,,,,,,,,
2024-09-20,,,,,,,,
2024-09-23,,,,,,,,
2024-09-24,,,,,,,,
2024-09-25,,,,,,,,
2024-09-26,,,,,,,,
2024-09-27,,,,,,,,
2024-09-30,,,,,,,,
2024-10-01,,,,,,,,
2024-10-02,,,,,,,,
2024-10-03,,,57.4994523558043,,,,,
2024-10-04,,,59.83218100403448,,,,,
2024-10-07,,,47.212416704050305,,,,,
2024-10-08,,,55.31624389857535,,,,,
2024-10-09,,,61.23774525670521,,,,,
2024-10-10,,,60.10018972494653,,,,,
2024-10-11,,,56.71892255196048,,,,233.92990683488392,217.9140918833778
2024-10-14,,,62.44553455084499,,,,233.68723132212008,219.65476696889553
2024-10-15,,,65.76288234900056,,,,233.61479993125621,221.43319964149768
2024-10-16,,,61.048545523377435,,,,233.56939823286308,222.5876009736799
2024-10-17,,,61.57872189709523,,,,234.00726354146056,222.47773554301207
2024-10-18,,,65.47673289618555,,,,235.0557141007395,222.10928528890892
2024-10-21,,,67.33033005185871,3.4060821744629663,,,236.327449958433,221.83854888189902
2024-10-22,,,65.73800231837134,3.524731953078941,,,237.27666528365086,221.73833410599758
2024-10-23,,,54.35128276573555,3.170685202106398,,,237.37632477545745,222.07767455315584
2024-10-24,,,53.97620376638782,2.8420093091173726,,,237.46811735376733,222.29088228002175
2024-10-25,,,55.44037624359879,2.619120390748378,,,237.6137348921821,222.5072657792046
2024-10-28,,,58.78554190833468,2.5733904547028885,,,237.66680770338354,222.49419235765163
2024-10-29,,,59.23273192448247,2.529774572644726,,,237.97522181674063,222.93177738980236
2024-10-30,,,51.306034956476026,2.1819875535888684,,,237.95381319161794,223.28518674734693
2024-10-31,,,43.883336166033324,1.5503936823236586,2.5328542945600883,-0.9824606122364297,237.93409785685026,223.328902631431
2024-11-01,,,39.47926703195585,0.798570635807323,2.1859975628095354,-1.3874269270022124,238.32146846768518,222.55253208163123
2024-11-04,,,38.23939777666673,0.12863936320655966,1.7745259228889403,-1.6458865596823806,238.26739081778123,222.63860893807816
2024-11-05,,,41.40992750651868,-0.2828295514904937,1.3630548280130537,-1.6458843795035474,238.48765604107047,222.18634298236702
2024-11-06,,,40.281009431925895,-0.6602156304273308,0.9584007363249767,-1.6186163667523075,238.7962707991688,221.1957290177257
2024-11-07,,,49.876555243053524,-0.5686499979330506,0.6529905894733713,-1.221640587406422,238.77823126347877,221.0577687975564
2024-11-08,,,48.951232459955406,-0.5319108054976311,0.4160103104791708,-0.947921115976802,238.78393047296072,220.99306995428537
2024-11-11,,,44.30399752030062,-0.7148435304988823,0.1898395422835602,-0.9046830727824424,238.73467897303865,220.33532072178556
2024-11-12,,,44.30399752030062,-0.8500205255226945,-0.018132471277690715,-0.8318880542450038,238.3067507011771,219.80124795604948
2024-11-13,,,46.23389506732674,-0.8752444817030209,-0.18955487336275675,-0.6856896083402642,238.03651924375063,219.405479047265
2024-11-14,,,52.41842336208861,-0.637738610262403,-0.279191620742686,-0.358546989519717,237.707258631947,219.34174039149048
2024-11-15,,,46.44266157253039,-0.7012570293292697,-0.36360470246000276,-0.33765232686926694,236.82342348610393,219.22557553733355
2024-11-18,,,51.97276337609021,-0.5021186176402637,-0.39130748549605493,-0.11081113214420873,235.50126381791057,219.70173606001913
2024-11-19,,,52.42817618365998,-0.31963604249369837,-0.3769731968955836,0.05733715440188525,234.1711119773928,220.27388771743142
2024-11-20,,,53.73648424796897,-0.11558679316334519,-0.32469591614913595,0.20910912298579076,233.94488648347988,220.32411376066074
2024-11-21,,,52.69602072258344,0.007307823268035918,-0.2582951682657016,0.2656029915337375,233.69253445775726,220.3714654812076
2024-11-22,227.73399963378907,,55.316512538458795,0.21120107648144426,-0.16439591931627243,0.37559699579771666,233.4447193691212,220.46527971535144
2024-11-25,228.06499938964845,,60.546979943924924,0.6078558922300488,-0.009945557007008193,0.6178014492370569,233.3162612244877,220.54073798205528
2024-11-26,228.43039947509766,,63.871657302798056,1.0863992515500627,0.209323404704406,0.8770758468456566,233.70015361184733,220.2958455336605
2024-11-27,228.71519927978517,,63.52940703008125,1.4385750067866638,0.45517372512085763,0.9834012816658062,234.6788802650809,219.8001175376535
2024-11-29,228.8843994140625,,67.04058636765939,1.8895558871586786,0.7420501575284218,1.1475057296302569,236.41575126686348,219.2052463527654
2024-12-02,229.11219940185546,,69.97223774927912,2.4016395474010324,1.073968035502944,1.3276715118980884,238.35101636493667,218.93798052227035
2024-12-03,229.43579925537108,,73.41964088290989,3.019577952009797,1.4630900188043148,1.5564879332054824,240.64845569006488,218.704541136107
2024-12-04,229.74859924316405,,73.800728778625,3.4980245803551213,1.870076931114476,1.6279476492406453,242.66950852659173,218.6394880554395
2024-12-05,230.08199920654297,,73.8343938964588,3.835405464383257,2.263142637768232,1.5722628266150247,244.25303733148587,219.08795845708835
2024-12-06,230.38839904785155,,73.15945284127598,4.040072719937115,2.618528654202009,1.4215440657351057,245.75767507339728,219.1193207762121
2024-12-09,230.76759918212892,,77.49149154253179,4.4662929676198075,2.988081516885569,1.4782114507342388,247.86562505046865,218.990370127754
2024-12-10,231.06299926757814,,78.4678254337241,4.830696146739939,3.356604442856443,1.474091703883496,249.67555706975492,219.53443896295994
2024-12-11,231.46859924316405,,74.12276796638898,4.95903837993302,3.677091230271759,1.2819471496612609,250.84708360190865,220.5889134073687
