Date,SMA50,SMA200,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_hband,Bollinger_lband
2020-01-31,,,,,,,,
2020-02-03,,,,,,,,
2020-02-04,,,,,,,,
2020-02-05,,,,,,,,
2020-02-06,,,,,,,,
2020-02-07,,,,,,,,
2020-02-10,,,,,,,,
2020-02-11,,,,,,,,
2020-02-12,,,,,,,,
2020-02-13,,,,,,,,
2020-02-14,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,73.9556780078658,,,,,
2020-02-21,,,53.94248530413284,,,,,
2020-02-24,,,37.40382331897384,,,,,
2020-02-25,,,32.832643330272845,,,,,
2020-02-26,,,34.449511924239204,,,,,
2020-02-27,,,25.318827052690594,,,,,
2020-02-28,,,25.277188948581397,,,,111.93275062219249,94.397498401245
2020-03-02,,,39.05558037292413,,,,112.04405389147786,94.01234564465494
2020-03-03,,,34.64892665624538,,,,112.32735925258089,93.25299047886443
2020-03-04,,,44.64787096331702,,,,112.30096819929449,92.91018139787349
2020-03-05,,,39.59209403953663,,,,112.4052110704941,92.2267385449844
2020-03-06,,,37.56346362471776,,,,112.51548432869313,91.3707652135432
2020-03-09,,,30.25181773899,-2.380274010454201,,,112.96816893628889,89.52473114916032
2020-03-10,,,41.40196642847413,-2.398822957169628,,,112.42486041955881,88.85758968420096
2020-03-11,,,36.51166488087175,-2.6690502640898757,,,111.85959371708505,87.7731562218798
2020-03-12,,,29.010120463190603,-3.4257065349483184,,,111.90875621353914,85.30704349959564
2020-03-13,,,39.13010338397989,-3.5471640423952095,,,110.93611035509713,84.45533938245171
2020-03-16,,,34.45279971119487,-3.984207496447766,,,110.32983697450895,82.83301245176058
2020-03-17,,,43.464599908062894,-3.807808846123237,,,108.69486522571412,82.72883396251831
2020-03-18,,,44.985413958246184,-3.537823341635189,,,106.54244801113673,83.18015101840429
2020-03-19,,,48.419634583215505,-3.082839468212228,-3.232985531928654,0.1501460637164258,104.28009981284073,84.08164945473739
2020-03-20,,,46.29083203719699,-2.8302018613253637,-3.1524287978079957,0.322226936482632,102.42131478780158,84.69103415018671
2020-03-23,,,50.135846327272006,-2.3736995634172615,-2.996682950929849,0.6229833875125874,101.61258602321539,84.96746311008539
2020-03-24,,,52.53930320178512,-1.8403354989622471,-2.7654134605363287,0.9250779615740816,101.3497122222052,85.06713653267761
2020-03-25,,,48.84783551856343,-1.6179066342946555,-2.535912095287994,0.9180054609933386,100.69639397023342,85.25170478464939
2020-03-26,,,53.37626890922602,-1.1473952011002524,-2.258208716450446,1.1108135153501935,101.14006408083799,85.16398483883975
2020-03-27,,,49.61453425119507,-0.9866139919120798,-2.003889771542773,1.017275779630693,101.21002809065068,85.17577055436884
2020-03-30,,,53.66807943288943,-0.594729589595417,-1.7220577351533017,1.1273281455578847,101.29396112562253,85.141837519397
2020-03-31,,,52.651434654464474,-0.3376781055783482,-1.445181809238311,1.1075037036599629,101.55553804676174,85.08391050060155
2020-04-01,,,49.659905725241266,-0.3000372832635918,-1.2161529040433674,0.9161156207797756,101.06000025436799,85.23879887893278
2020-04-02,,,50.46275804644649,-0.2227345655093984,-1.0174692363365736,0.7947346708271752,101.02772548306602,85.24507343661172
2020-04-03,,,49.5272662741781,-0.20845194637459485,-0.8556657783441779,0.647213831969583,101.05574168274734,85.24455738951829
2020-04-06,,,56.050569106961525,0.16807686700656177,-0.6509172492740299,0.8189941162805917,101.92745040732918,85.35774856728021
2020-04-07,,,56.97258291832539,0.5170430490113205,-0.41732518961695986,0.9343682386282803,102.75826685081876,85.12583196509922
2020-04-08,,,59.04631644985967,0.9097995142829518,-0.15190024883697756,1.0616997631199294,103.89342167170204,85.10137737004601
2020-04-09,,,59.02289940299071,1.2061892602653899,0.11971765298349593,1.0864716072818938,104.00653888617715,86.81901043022908
2020-04-13,98.45381958007812,,66.53293646228907,1.9276602492883939,0.4813061722444756,1.4463540770439183,106.19756351608689,86.54733547072951
2020-04-14,98.7284196472168,,71.61699677485713,2.9274436781295208,0.9705336734214847,1.956910004708036,108.93197888132309,86.78377047780776
2020-04-15,99.03189971923828,,72.57206185540119,3.7745511800104055,1.531337174739269,2.2432140052711365,112.01774025525631,86.19720954332766
